"parsimony","norm_pars","method","gene","tree"
6,0.666666666666667,"Illumina_SPAdes","Col_MG828","cgMLST"
6,0.666666666666667,"NP_Canu","Col_MG828","cgMLST"
6,0.666666666666667,"NP_Canu_Hybrid_Polished","Col_MG828","cgMLST"
6,0.666666666666667,"NP_SPAdes","Col_MG828","cgMLST"
6,0.666666666666667,"NP_Unicycler","Col_MG828","cgMLST"
4,0.8,"PB_Canu","Col_MG828","cgMLST"
4,0.8,"PB_Canu_Hybrid_Polished","Col_MG828","cgMLST"
6,0.666666666666667,"PB_SPAdes","Col_MG828","cgMLST"
6,0.666666666666667,"PB_Unicycler","Col_MG828","cgMLST"
5,0.5,"Illumina_SPAdes","Col156","cgMLST"
6,0.6,"NP_Canu","Col156","cgMLST"
5,0.5,"NP_Canu_Hybrid_Polished","Col156","cgMLST"
5,0.5,"NP_SPAdes","Col156","cgMLST"
5,0.5,"NP_Unicycler","Col156","cgMLST"
4,0.5,"PB_Canu","Col156","cgMLST"
4,0.5,"PB_Canu_Hybrid_Polished","Col156","cgMLST"
5,0.5,"PB_SPAdes","Col156","cgMLST"
5,0.5,"PB_Unicycler","Col156","cgMLST"
5,0.625,"Illumina_SPAdes","ColRNAI","cgMLST"
5,0.625,"NP_Canu","ColRNAI","cgMLST"
5,0.625,"NP_Canu_Hybrid_Polished","ColRNAI","cgMLST"
5,0.625,"NP_SPAdes","ColRNAI","cgMLST"
5,0.625,"NP_Unicycler","ColRNAI","cgMLST"
5,0.625,"PB_Canu","ColRNAI","cgMLST"
5,0.625,"PB_Canu_Hybrid_Polished","ColRNAI","cgMLST"
5,0.625,"PB_SPAdes","ColRNAI","cgMLST"
5,0.625,"PB_Unicycler","ColRNAI","cgMLST"
5,0.555555555555556,"Illumina_SPAdes","IncFIA","cgMLST"
6,0.545454545454545,"NP_Canu","IncFIA","cgMLST"
7,0.636363636363636,"NP_Canu_Hybrid_Polished","IncFIA","cgMLST"
5,0.555555555555556,"NP_SPAdes","IncFIA","cgMLST"
5,0.555555555555556,"NP_Unicycler","IncFIA","cgMLST"
5,0.555555555555556,"PB_Canu","IncFIA","cgMLST"
5,0.555555555555556,"PB_Canu_Hybrid_Polished","IncFIA","cgMLST"
5,0.555555555555556,"PB_SPAdes","IncFIA","cgMLST"
5,0.555555555555556,"PB_Unicycler","IncFIA","cgMLST"
4,0.571428571428571,"Illumina_SPAdes","IncFIB_AP001918","cgMLST"
6,0.666666666666667,"NP_Canu","IncFIB_AP001918","cgMLST"
6,0.666666666666667,"NP_Canu_Hybrid_Polished","IncFIB_AP001918","cgMLST"
4,0.571428571428571,"NP_SPAdes","IncFIB_AP001918","cgMLST"
4,0.571428571428571,"NP_Unicycler","IncFIB_AP001918","cgMLST"
4,0.571428571428571,"PB_Canu","IncFIB_AP001918","cgMLST"
4,0.571428571428571,"PB_Canu_Hybrid_Polished","IncFIB_AP001918","cgMLST"
4,0.571428571428571,"PB_SPAdes","IncFIB_AP001918","cgMLST"
4,0.571428571428571,"PB_Unicycler","IncFIB_AP001918","cgMLST"
5,0.555555555555556,"Illumina_SPAdes","IncFIC_FII","cgMLST"
6,0.75,"NP_Canu","IncFIC_FII","cgMLST"
5,0.555555555555556,"NP_Canu_Hybrid_Polished","IncFIC_FII","cgMLST"
5,0.555555555555556,"NP_SPAdes","IncFIC_FII","cgMLST"
5,0.555555555555556,"NP_Unicycler","IncFIC_FII","cgMLST"
5,0.555555555555556,"PB_Canu","IncFIC_FII","cgMLST"
5,0.555555555555556,"PB_Canu_Hybrid_Polished","IncFIC_FII","cgMLST"
5,0.555555555555556,"PB_SPAdes","IncFIC_FII","cgMLST"
5,0.555555555555556,"PB_Unicycler","IncFIC_FII","cgMLST"
4,0.571428571428571,"Illumina_SPAdes","IncFII_pRSB107","cgMLST"
4,0.666666666666667,"NP_Canu","IncFII_pRSB107","cgMLST"
3,0.5,"NP_Canu_Hybrid_Polished","IncFII_pRSB107","cgMLST"
4,0.571428571428571,"NP_SPAdes","IncFII_pRSB107","cgMLST"
4,0.571428571428571,"NP_Unicycler","IncFII_pRSB107","cgMLST"
4,0.571428571428571,"PB_Canu","IncFII_pRSB107","cgMLST"
4,0.571428571428571,"PB_Canu_Hybrid_Polished","IncFII_pRSB107","cgMLST"
4,0.571428571428571,"PB_SPAdes","IncFII_pRSB107","cgMLST"
4,0.571428571428571,"PB_Unicycler","IncFII_pRSB107","cgMLST"
6,0.545454545454545,"Illumina_SPAdes","IncI1","cgMLST"
4,0.571428571428571,"NP_Canu","IncI1","cgMLST"
5,0.714285714285714,"NP_Canu_Hybrid_Polished","IncI1","cgMLST"
6,0.545454545454545,"NP_SPAdes","IncI1","cgMLST"
5,0.5,"NP_Unicycler","IncI1","cgMLST"
7,0.7,"PB_Canu","IncI1","cgMLST"
7,0.7,"PB_Canu_Hybrid_Polished","IncI1","cgMLST"
6,0.545454545454545,"PB_SPAdes","IncI1","cgMLST"
6,0.545454545454545,"PB_Unicycler","IncI1","cgMLST"
