"parsimony","norm_pars","method","gene","tree"
4,0.666666666666667,"Illumina_SPAdes","aadA5","cgMLST"
5,0.833333333333333,"NP_Canu","aadA5","cgMLST"
4,0.666666666666667,"NP_Canu_Hybrid_Polished","aadA5","cgMLST"
4,0.666666666666667,"NP_SPAdes","aadA5","cgMLST"
4,0.666666666666667,"NP_Unicycler","aadA5","cgMLST"
4,0.666666666666667,"PB_Canu","aadA5","cgMLST"
4,0.666666666666667,"PB_Canu_Hybrid_Polished","aadA5","cgMLST"
4,0.666666666666667,"PB_SPAdes","aadA5","cgMLST"
4,0.666666666666667,"PB_Unicycler","aadA5","cgMLST"
3,0.6,"Illumina_SPAdes","aph.3....Ib","cgMLST"
4,1,"NP_Canu","aph.3....Ib","cgMLST"
3,0.6,"NP_Canu_Hybrid_Polished","aph.3....Ib","cgMLST"
4,0.666666666666667,"NP_SPAdes","aph.3....Ib","cgMLST"
4,0.666666666666667,"NP_Unicycler","aph.3....Ib","cgMLST"
4,1,"PB_Canu","aph.3....Ib","cgMLST"
3,0.6,"PB_Canu_Hybrid_Polished","aph.3....Ib","cgMLST"
4,0.666666666666667,"PB_SPAdes","aph.3....Ib","cgMLST"
4,0.666666666666667,"PB_Unicycler","aph.3....Ib","cgMLST"
4,0.666666666666667,"Illumina_SPAdes","dfrA17","cgMLST"
5,0.833333333333333,"NP_Canu","dfrA17","cgMLST"
4,0.666666666666667,"NP_Canu_Hybrid_Polished","dfrA17","cgMLST"
4,0.666666666666667,"NP_SPAdes","dfrA17","cgMLST"
4,0.666666666666667,"NP_Unicycler","dfrA17","cgMLST"
4,0.571428571428571,"PB_Canu","dfrA17","cgMLST"
4,0.571428571428571,"PB_Canu_Hybrid_Polished","dfrA17","cgMLST"
4,0.666666666666667,"PB_SPAdes","dfrA17","cgMLST"
4,0.666666666666667,"PB_Unicycler","dfrA17","cgMLST"
2,0.285714285714286,"Illumina_SPAdes","aac.6...Ib.cr","cgMLST"
4,0.571428571428571,"NP_Canu","aac.6...Ib.cr","cgMLST"
2,0.285714285714286,"NP_Canu_Hybrid_Polished","aac.6...Ib.cr","cgMLST"
2,0.285714285714286,"NP_SPAdes","aac.6...Ib.cr","cgMLST"
2,0.285714285714286,"NP_Unicycler","aac.6...Ib.cr","cgMLST"
2,0.285714285714286,"PB_Canu","aac.6...Ib.cr","cgMLST"
2,0.285714285714286,"PB_Canu_Hybrid_Polished","aac.6...Ib.cr","cgMLST"
2,0.285714285714286,"PB_SPAdes","aac.6...Ib.cr","cgMLST"
2,0.285714285714286,"PB_Unicycler","aac.6...Ib.cr","cgMLST"
2,0.285714285714286,"Illumina_SPAdes","blaOXA.1","cgMLST"
4,0.571428571428571,"NP_Canu","blaOXA.1","cgMLST"
2,0.285714285714286,"NP_Canu_Hybrid_Polished","blaOXA.1","cgMLST"
2,0.285714285714286,"NP_SPAdes","blaOXA.1","cgMLST"
2,0.285714285714286,"NP_Unicycler","blaOXA.1","cgMLST"
2,0.285714285714286,"PB_Canu","blaOXA.1","cgMLST"
2,0.285714285714286,"PB_Canu_Hybrid_Polished","blaOXA.1","cgMLST"
2,0.285714285714286,"PB_SPAdes","blaOXA.1","cgMLST"
2,0.285714285714286,"PB_Unicycler","blaOXA.1","cgMLST"
4,0.8,"Illumina_SPAdes","blaTEM.1B","cgMLST"
4,0.666666666666667,"NP_Canu","blaTEM.1B","cgMLST"
4,0.666666666666667,"NP_Canu_Hybrid_Polished","blaTEM.1B","cgMLST"
5,0.714285714285714,"NP_SPAdes","blaTEM.1B","cgMLST"
5,0.714285714285714,"NP_Unicycler","blaTEM.1B","cgMLST"
5,0.714285714285714,"PB_Canu","blaTEM.1B","cgMLST"
5,0.714285714285714,"PB_Canu_Hybrid_Polished","blaTEM.1B","cgMLST"
5,0.714285714285714,"PB_SPAdes","blaTEM.1B","cgMLST"
5,0.714285714285714,"PB_Unicycler","blaTEM.1B","cgMLST"
2,0.285714285714286,"Illumina_SPAdes","catB3","cgMLST"
4,0.571428571428571,"NP_Canu","catB3","cgMLST"
2,0.285714285714286,"NP_Canu_Hybrid_Polished","catB3","cgMLST"
2,0.285714285714286,"NP_SPAdes","catB3","cgMLST"
2,0.285714285714286,"NP_Unicycler","catB3","cgMLST"
2,0.285714285714286,"PB_Canu","catB3","cgMLST"
2,0.285714285714286,"PB_Canu_Hybrid_Polished","catB3","cgMLST"
2,0.285714285714286,"PB_SPAdes","catB3","cgMLST"
2,0.285714285714286,"PB_Unicycler","catB3","cgMLST"
5,0.714285714285714,"Illumina_SPAdes","sul2","cgMLST"
5,0.833333333333333,"NP_Canu","sul2","cgMLST"
4,0.666666666666667,"NP_Canu_Hybrid_Polished","sul2","cgMLST"
5,0.714285714285714,"NP_SPAdes","sul2","cgMLST"
5,0.714285714285714,"NP_Unicycler","sul2","cgMLST"
5,0.714285714285714,"PB_Canu","sul2","cgMLST"
5,0.714285714285714,"PB_Canu_Hybrid_Polished","sul2","cgMLST"
5,0.714285714285714,"PB_SPAdes","sul2","cgMLST"
5,0.714285714285714,"PB_Unicycler","sul2","cgMLST"
3,0.428571428571429,"Illumina_SPAdes","tet.34.","cgMLST"
2,0.666666666666667,"NP_Canu","tet.34.","cgMLST"
3,0.428571428571429,"NP_Canu_Hybrid_Polished","tet.34.","cgMLST"
3,0.428571428571429,"NP_SPAdes","tet.34.","cgMLST"
3,0.428571428571429,"NP_Unicycler","tet.34.","cgMLST"
3,0.428571428571429,"PB_Canu","tet.34.","cgMLST"
3,0.428571428571429,"PB_Canu_Hybrid_Polished","tet.34.","cgMLST"
3,0.428571428571429,"PB_SPAdes","tet.34.","cgMLST"
