"","min.RF","mean.RF","max.RF","lower.HPD","upper.HPD","plasmid","method","alignment_method"
"1",0,0.79,1,0,1,"IncI1","Illumina_SPAdes","roary"
"2",0,0.755,1,0,1,"IncI1","NP_Canu","roary"
"3",0,0.83,1,0,1,"IncI1","NP_Canu_Hybrid_Polished","roary"
"4",0,0.79,1,0,1,"IncI1","NP_SPAdes","roary"
"5",0,0.77,1,0,1,"IncI1","NP_Unicycler","roary"
"6",0,0.82,1,0,1,"IncI1","PB_Canu","roary"
"7",0,0.8,1,0,1,"IncI1","PB_Canu_Hybrid_Polished","roary"
"8",0,0.79,1,0,1,"IncI1","PB_SPAdes","roary"
"9",0,0.799191919191919,1,0,1,"IncI1","PB_Unicycler","roary"
"10",0,0.86,1,0.333333333333333,1,"IncFII_pRSB107","Illumina_SPAdes","roary"
"11",0,0.856666666666667,1,0.333333333333333,1,"IncFII_pRSB107","NP_Canu","roary"
"12",0,0.866666666666667,1,0.333333333333333,1,"IncFII_pRSB107","NP_Canu_Hybrid_Polished","roary"
"13",0.333333333333333,0.916666666666667,1,0.666666666666667,1,"IncFII_pRSB107","NP_SPAdes","roary"
"14",0,0.883333333333333,1,0.333333333333333,1,"IncFII_pRSB107","NP_Unicycler","roary"
"15",0.333333333333333,0.893333333333333,1,0.666666666666667,1,"IncFII_pRSB107","PB_Canu","roary"
"16",0,0.893333333333333,1,0.333333333333333,1,"IncFII_pRSB107","PB_Canu_Hybrid_Polished","roary"
"17",0.333333333333333,0.876666666666667,1,0.333333333333333,1,"IncFII_pRSB107","PB_SPAdes","roary"
"18",0,0.873872053872054,1,0.333333333333333,1,"IncFII_pRSB107","PB_Unicycler","roary"
"19",0.4,0.946,1,0.8,1,"IncFIC_FII","Illumina_SPAdes","roary"
"20",0.4,0.946,1,0.8,1,"IncFIC_FII","NP_Canu","roary"
"21",0.6,0.95,1,0.8,1,"IncFIC_FII","NP_Canu_Hybrid_Polished","roary"
"22",0.6,0.94,1,0.8,1,"IncFIC_FII","NP_SPAdes","roary"
"23",0.4,0.944,1,0.6,1,"IncFIC_FII","NP_Unicycler","roary"
"24",0.6,0.934,1,0.6,1,"IncFIC_FII","PB_Canu","roary"
"25",0.4,0.922,1,0.6,1,"IncFIC_FII","PB_Canu_Hybrid_Polished","roary"
"26",0.6,0.94,1,0.6,1,"IncFIC_FII","PB_SPAdes","roary"
"27",0,0.933535353535354,1,0.8,1,"IncFIC_FII","PB_Unicycler","roary"
"28",0.833333333333333,0.975833333333333,1,0.916666666666667,1,"IncFIB_AP001918","Illumina_SPAdes","roary"
"29",0.833333333333333,0.979166666666667,1,0.916666666666667,1,"IncFIB_AP001918","NP_Canu","roary"
"30",0.833333333333333,0.976666666666667,1,0.916666666666667,1,"IncFIB_AP001918","NP_Canu_Hybrid_Polished","roary"
"31",0.916666666666667,0.981666666666667,1,0.916666666666667,1,"IncFIB_AP001918","NP_SPAdes","roary"
"32",0.833333333333333,0.9775,1,0.916666666666667,1,"IncFIB_AP001918","NP_Unicycler","roary"
"33",0.833333333333333,0.98,1,0.916666666666667,1,"IncFIB_AP001918","PB_Canu","roary"
"34",0.75,0.9725,1,0.916666666666667,1,"IncFIB_AP001918","PB_Canu_Hybrid_Polished","roary"
"35",0.833333333333333,0.985833333333333,1,0.916666666666667,1,"IncFIB_AP001918","PB_SPAdes","roary"
"36",0.666666666666667,0.979781144781145,1,0.916666666666667,1,"IncFIB_AP001918","PB_Unicycler","roary"
"37",0.8,0.978,1,0.9,1,"IncFIA","Illumina_SPAdes","roary"
"38",0.8,0.977,1,0.9,1,"IncFIA","NP_Canu","roary"
"39",0.8,0.978,1,0.9,1,"IncFIA","NP_Canu_Hybrid_Polished","roary"
"40",0.8,0.976,1,0.9,1,"IncFIA","NP_SPAdes","roary"
"41",0.8,0.965,1,0.9,1,"IncFIA","NP_Unicycler","roary"
"42",0.6,0.97,1,0.9,1,"IncFIA","PB_Canu","roary"
"43",0.8,0.976,1,0.8,1,"IncFIA","PB_Canu_Hybrid_Polished","roary"
"44",0.8,0.978,1,0.9,1,"IncFIA","PB_SPAdes","roary"
"45",0.7,0.972868686868687,1,0.9,1,"IncFIA","PB_Unicycler","roary"
"46",0.6,0.966,1,0.8,1,"ColRNAI","Illumina_SPAdes","roary"
"47",0.4,0.916,1,0.6,1,"ColRNAI","NP_Canu","roary"
"48",0.4,0.926,1,0.6,1,"ColRNAI","NP_Canu_Hybrid_Polished","roary"
"49",0.4,0.93,1,0.6,1,"ColRNAI","NP_SPAdes","roary"
"50",0.6,0.94,1,0.8,1,"ColRNAI","NP_Unicycler","roary"
"51",0.4,0.942,1,0.8,1,"ColRNAI","PB_Canu","roary"
"52",0.6,0.928,1,0.6,1,"ColRNAI","PB_Canu_Hybrid_Polished","roary"
"53",0.6,0.934,1,0.8,1,"ColRNAI","PB_SPAdes","roary"
