min.RF,mean.RF,max.RF,lower.HPD,upper.HPD,plasmid,method,alignment_method
0.5,0.5,0.5,0.5,0.5,IncI1,Illumina_SPAdes,roary
0,0.005888235,0.5,0,0,IncI1,NP_Canu,roary
0.5,0.5,0.5,0.5,0.5,IncI1,NP_Canu_Hybrid_Polished,roary
0.5,0.5,0.5,0.5,0.5,IncI1,NP_SPAdes,roary
0.5,0.5,0.5,0.5,0.5,IncI1,NP_Unicycler,roary
0.5,0.5,0.5,0.5,0.5,IncI1,PB_Canu,roary
0.5,0.5,0.5,0.5,0.5,IncI1,PB_Canu_Hybrid_Polished,roary
0.5,0.5,0.5,0.5,0.5,IncI1,PB_SPAdes,roary
0.5,0.5,0.5,0.5,0.5,IncI1,PB_Unicycler,roary
0,0.688997519,1,0.333333333,1,IncFII_pRSB107,Illumina_SPAdes,roary
0.666666667,0.999962967,1,1,1,IncFII_pRSB107,NP_Canu,roary
0,0.330222568,0.666666667,0.333333333,0.333333333,IncFII_pRSB107,NP_Canu_Hybrid_Polished,roary
0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,IncFII_pRSB107,NP_SPAdes,roary
0,0.27296967,0.666666667,0,0.333333333,IncFII_pRSB107,NP_Unicycler,roary
0,0.50627708,0.666666667,0,0.666666667,IncFII_pRSB107,PB_Canu,roary
0,0.06425212,0.666666667,0,0.333333333,IncFII_pRSB107,PB_Canu_Hybrid_Polished,roary
0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,IncFII_pRSB107,PB_SPAdes,roary
0.333333333,0.414953894,0.666666667,0.333333333,0.666666667,IncFII_pRSB107,PB_Unicycler,roary
0.2,0.79906677,1,0.6,1,IncFIC_FII,Illumina_SPAdes,roary
0,0.533496278,0.6,0.4,0.6,IncFIC_FII,NP_Canu,roary
0,0.594978336,0.6,0.6,0.6,IncFIC_FII,NP_Canu_Hybrid_Polished,roary
0.4,0.598511277,0.6,0.6,0.6,IncFIC_FII,NP_SPAdes,roary
0.2,0.392934118,0.4,0.4,0.4,IncFIC_FII,NP_Unicycler,roary
0,0.398000222,0.4,0.4,0.4,IncFIC_FII,PB_Canu,roary
0,0.39457838,0.4,0.4,0.4,IncFIC_FII,PB_Canu_Hybrid_Polished,roary
0.6,0.798244639,0.8,0.8,0.8,IncFIC_FII,PB_SPAdes,roary
0.4,0.596311521,0.6,0.6,0.6,IncFIC_FII,PB_Unicycler,roary
0.583333333,0.809872977,0.833333333,0.75,0.833333333,IncFIB_AP001918,Illumina_SPAdes,roary
0.666666667,0.926073029,1,0.833333333,1,IncFIB_AP001918,NP_Canu,roary
0.416666667,0.602840425,0.75,0.583333333,0.666666667,IncFIB_AP001918,NP_Canu_Hybrid_Polished,roary
0.5,0.640289968,0.666666667,0.583333333,0.666666667,IncFIB_AP001918,NP_SPAdes,roary
0.5,0.500009258,0.583333333,0.5,0.5,IncFIB_AP001918,NP_Unicycler,roary
0.5,0.576158205,0.583333333,0.5,0.583333333,IncFIB_AP001918,PB_Canu,roary
0.416666667,0.489649298,0.583333333,0.416666667,0.5,IncFIB_AP001918,PB_Canu_Hybrid_Polished,roary
0.5,0.675776766,0.75,0.666666667,0.75,IncFIB_AP001918,PB_SPAdes,roary
0.5,0.53469059,0.666666667,0.5,0.583333333,IncFIB_AP001918,PB_Unicycler,roary
0.4,0.747228086,0.9,0.5,0.8,IncFIA,Illumina_SPAdes,roary
0.8,0.961582046,1,0.9,1,IncFIA,NP_Canu,roary
0.4,0.574691701,0.6,0.5,0.6,IncFIA,NP_Canu_Hybrid_Polished,roary
0.4,0.478246861,0.6,0.4,0.5,IncFIA,NP_SPAdes,roary
0.4,0.40001111,0.5,0.4,0.4,IncFIA,NP_Unicycler,roary
0.4,0.593011888,0.6,0.5,0.6,IncFIA,PB_Canu,roary
0.4,0.486279302,0.6,0.4,0.5,IncFIA,PB_Canu_Hybrid_Polished,roary
0.4,0.424752805,0.5,0.4,0.5,IncFIA,PB_SPAdes,roary
0.5,0.548839018,0.6,0.5,0.6,IncFIA,PB_Unicycler,roary
0,0.720008888,1,0.4,1,ColRNAI,Illumina_SPAdes,roary
0,0.867325853,1,0.6,1,ColRNAI,NP_Canu,roary
0,0.900811021,1,0.6,1,ColRNAI,NP_Canu_Hybrid_Polished,roary
0.2,0.600577714,1,0.4,0.6,ColRNAI,NP_SPAdes,roary
0,0.429463393,0.8,0.2,0.6,ColRNAI,NP_Unicycler,roary
0,0.909254527,1,0.6,1,ColRNAI,PB_Canu,roary
0,0.869258971,1,0.6,1,ColRNAI,PB_Canu_Hybrid_Polished,roary
0.2,0.600844351,1,0.4,0.6,ColRNAI,PB_SPAdes,roary
0,0.419686701,0.8,0.2,0.6,ColRNAI,PB_Unicycler,roary
0.4,0.869170092,1,0.8,1,Col156,Illumina_SPAdes,roary
0.4,0.897544717,1,0.6,1,Col156,NP_Canu,roary
0,0.62706366,1,0.4,1,Col156,NP_Canu_Hybrid_Polished,roary
0,0.39373403,1,0,0.8,Col156,NP_SPAdes,roary
0,0.381179869,1,0,0.8,Col156,NP_Unicycler,roary
0,0.696055994,1,0.4,0.8,Col156,PB_Canu,roary
0,0.574091768,1,0.2,0.8,Col156,PB_Canu_Hybrid_Polished,roary
0,0.434996112,1,0,0.8,Col156,PB_SPAdes,roary
0,0.396267081,1,0,0.8,Col156,PB_Unicycler,roary
