Clade,clade_prob_y,clade_prob_x,method_y,method_x
"{ESBL12.fasta,ESBL18.fasta,ESBL25.fasta,ESBL26.fasta}",0,1,Illumina_SPAdes,NP_Canu
"{ESBL09.fasta,ESBL12.fasta,ESBL18.fasta,ESBL25.fasta,ESBL26.fasta}",1,1,Illumina_SPAdes,NP_Canu
"{ESBL15.fasta,ESBL16.fasta}",1,1,Illumina_SPAdes,NP_Canu
"{ESBL25.fasta,ESBL26.fasta}",1,1,Illumina_SPAdes,NP_Canu
"{ESBL11.fasta,ESBL13.fasta}",1,1,Illumina_SPAdes,NP_Canu
"{ESBL01.fasta,ESBL02.fasta,ESBL03.fasta,ESBL04.fasta,ESBL05.fasta,ESBL06.fasta,ESBL07.fasta,ESBL08.fasta,ESBL09.fasta,ESBL10.fasta,ESBL11.fasta,ESBL12.fasta,ESBL13.fasta,ESBL14.fasta,ESBL15.fasta,ESBL16.fasta,ESBL17.fasta,ESBL18.fasta,ESBL19.fasta,ESBL20.fasta,ESBL21.fasta,ESBL22.fasta,ESBL25.fasta,ESBL26.fasta}",1,1,Illumina_SPAdes,NP_Canu
"{ESBL01.fasta,ESBL02.fasta,ESBL03.fasta,ESBL04.fasta,ESBL07.fasta,ESBL08.fasta,ESBL10.fasta,ESBL17.fasta,ESBL19.fasta,ESBL20.fasta,ESBL21.fasta,ESBL22.fasta}",1,1,Illumina_SPAdes,NP_Canu
"{ESBL02.fasta,ESBL03.fasta,ESBL04.fasta,ESBL07.fasta,ESBL08.fasta,ESBL10.fasta,ESBL17.fasta,ESBL19.fasta,ESBL20.fasta,ESBL21.fasta,ESBL22.fasta}",1,1,Illumina_SPAdes,NP_Canu
"{ESBL03.fasta,ESBL04.fasta,ESBL07.fasta,ESBL08.fasta,ESBL10.fasta,ESBL19.fasta,ESBL20.fasta,ESBL21.fasta,ESBL22.fasta}",0,1,Illumina_SPAdes,NP_Canu
"{ESBL05.fasta,ESBL06.fasta}",1,1,Illumina_SPAdes,NP_Canu
"{ESBL05.fasta,ESBL06.fasta,ESBL15.fasta,ESBL16.fasta}",1,1,Illumina_SPAdes,NP_Canu
"{ESBL05.fasta,ESBL06.fasta,ESBL14.fasta,ESBL15.fasta,ESBL16.fasta}",1,1,Illumina_SPAdes,NP_Canu
"{ESBL03.fasta,ESBL04.fasta,ESBL07.fasta,ESBL08.fasta,ESBL10.fasta,ESBL17.fasta,ESBL19.fasta,ESBL20.fasta,ESBL21.fasta,ESBL22.fasta}",1,1,Illumina_SPAdes,NP_Canu
"{ESBL03.fasta,ESBL04.fasta,ESBL07.fasta,ESBL08.fasta,ESBL10.fasta,ESBL22.fasta}",0,1,Illumina_SPAdes,NP_Canu
"{ESBL05.fasta,ESBL06.fasta,ESBL09.fasta,ESBL12.fasta,ESBL14.fasta,ESBL15.fasta,ESBL16.fasta,ESBL18.fasta,ESBL25.fasta,ESBL26.fasta}",1,0.9998889012331963,Illumina_SPAdes,NP_Canu
"{ESBL07.fasta,ESBL22.fasta}",0,0.999666703699589,Illumina_SPAdes,NP_Canu
"{ESBL19.fasta,ESBL20.fasta}",1,0.9993334073991779,Illumina_SPAdes,NP_Canu
"{ESBL19.fasta,ESBL20.fasta,ESBL21.fasta}",0,0.9987779135651594,Illumina_SPAdes,NP_Canu
"{ESBL07.fasta,ESBL08.fasta,ESBL10.fasta,ESBL22.fasta}",0,0.9972225308299077,Illumina_SPAdes,NP_Canu
"{ESBL08.fasta,ESBL10.fasta}",0,0.9910009998889012,Illumina_SPAdes,NP_Canu
"{ESBL03.fasta,ESBL04.fasta}",0,0.9795578269081213,Illumina_SPAdes,NP_Canu
"{ESBL05.fasta,ESBL06.fasta,ESBL09.fasta,ESBL11.fasta,ESBL12.fasta,ESBL13.fasta,ESBL14.fasta,ESBL15.fasta,ESBL16.fasta,ESBL18.fasta,ESBL25.fasta,ESBL26.fasta}",0,0.8602377513609599,Illumina_SPAdes,NP_Canu
"{ESBL01.fasta,ESBL02.fasta,ESBL03.fasta,ESBL04.fasta,ESBL07.fasta,ESBL08.fasta,ESBL10.fasta,ESBL11.fasta,ESBL13.fasta,ESBL17.fasta,ESBL19.fasta,ESBL20.fasta,ESBL21.fasta,ESBL22.fasta}",1,0.1397622486390401,Illumina_SPAdes,NP_Canu
"{ESBL03.fasta,ESBL07.fasta,ESBL08.fasta,ESBL10.fasta,ESBL22.fasta}",0,0.020331074325074992,Illumina_SPAdes,NP_Canu
"{ESBL07.fasta,ESBL10.fasta,ESBL22.fasta}",0,0.004443950672147539,Illumina_SPAdes,NP_Canu
"{ESBL07.fasta,ESBL08.fasta,ESBL22.fasta}",0,0.004332851905343851,Illumina_SPAdes,NP_Canu
"{ESBL03.fasta,ESBL08.fasta}",0,0.0026663704032885236,Illumina_SPAdes,NP_Canu
"{ESBL19.fasta,ESBL21.fasta}",0,6.665926008221309e-4,Illumina_SPAdes,NP_Canu
"{ESBL03.fasta,ESBL04.fasta,ESBL07.fasta,ESBL08.fasta,ESBL10.fasta,ESBL20.fasta,ESBL22.fasta}",0,6.665926008221309e-4,Illumina_SPAdes,NP_Canu
"{ESBL03.fasta,ESBL04.fasta,ESBL07.fasta,ESBL08.fasta,ESBL10.fasta,ESBL21.fasta,ESBL22.fasta}",0,4.4439506721475393e-4,Illumina_SPAdes,NP_Canu
"{ESBL07.fasta,ESBL10.fasta}",0,3.3329630041106545e-4,Illumina_SPAdes,NP_Canu
"{ESBL09.fasta,ESBL11.fasta,ESBL12.fasta,ESBL13.fasta,ESBL18.fasta,ESBL25.fasta,ESBL26.fasta}",0,1.1109876680368848e-4,Illumina_SPAdes,NP_Canu
"{ESBL03.fasta,ESBL10.fasta}",1,1.1109876680368848e-4,Illumina_SPAdes,NP_Canu
"{ESBL03.fasta,ESBL07.fasta,ESBL08.fasta,ESBL10.fasta}",0.32940784357293634,1.1109876680368848e-4,Illumina_SPAdes,NP_Canu
"{ESBL03.fasta,ESBL04.fasta,ESBL07.fasta,ESBL08.fasta,ESBL10.fasta,ESBL19.fasta,ESBL20.fasta,ESBL22.fasta}",0,1.1109876680368848e-4,Illumina_SPAdes,NP_Canu
"{ESBL03.fasta,ESBL07.fasta,ESBL08.fasta,ESBL22.fasta}",0,1.1109876680368848e-4,Illumina_SPAdes,NP_Canu
"{ESBL04.fasta,ESBL07.fasta,ESBL08.fasta,ESBL10.fasta,ESBL22.fasta}",0,1.1109876680368848e-4,Illumina_SPAdes,NP_Canu
"{ESBL19.fasta,ESBL20.fasta,ESBL22.fasta}",1,0,Illumina_SPAdes,NP_Canu
"{ESBL19.fasta,ESBL20.fasta,ESBL21.fasta,ESBL22.fasta}",1,0,Illumina_SPAdes,NP_Canu
"{ESBL07.fasta,ESBL08.fasta}",1,0,Illumina_SPAdes,NP_Canu
"{ESBL03.fasta,ESBL04.fasta,ESBL07.fasta,ESBL08.fasta,ESBL10.fasta}",1,0,Illumina_SPAdes,NP_Canu
"{ESBL09.fasta,ESBL12.fasta}",1,0,Illumina_SPAdes,NP_Canu
"{ESBL03.fasta,ESBL04.fasta,ESBL07.fasta,ESBL08.fasta,ESBL10.fasta,ESBL17.fasta}",1,0,Illumina_SPAdes,NP_Canu
"{ESBL04.fasta,ESBL07.fasta,ESBL08.fasta}",0.47272525274969446,0,Illumina_SPAdes,NP_Canu
"{ESBL03.fasta,ESBL04.fasta,ESBL10.fasta}",0.19786690367736917,0,Illumina_SPAdes,NP_Canu
"{ESBL05.fasta,ESBL06.fasta}",1,1,Illumina_SPAdes,NP_Canu_Hybrid_Polished
"{ESBL19.fasta,ESBL20.fasta,ESBL21.fasta,ESBL22.fasta}",1,1,Illumina_SPAdes,NP_Canu_Hybrid_Polished
"{ESBL01.fasta,ESBL02.fasta,ESBL03.fasta,ESBL04.fasta,ESBL07.fasta,ESBL08.fasta,ESBL10.fasta,ESBL17.fasta,ESBL19.fasta,ESBL20.fasta,ESBL21.fasta,ESBL22.fasta}",1,1,Illumina_SPAdes,NP_Canu_Hybrid_Polished
"{ESBL05.fasta,ESBL06.fasta,ESBL15.fasta,ESBL16.fasta}",1,1,Illumina_SPAdes,NP_Canu_Hybrid_Polished
"{ESBL05.fasta,ESBL06.fasta,ESBL14.fasta,ESBL15.fasta,ESBL16.fasta}",1,1,Illumina_SPAdes,NP_Canu_Hybrid_Polished
"{ESBL03.fasta,ESBL04.fasta,ESBL07.fasta,ESBL08.fasta,ESBL10.fasta,ESBL17.fasta,ESBL19.fasta,ESBL20.fasta,ESBL21.fasta,ESBL22.fasta}",1,1,Illumina_SPAdes,NP_Canu_Hybrid_Polished
"{ESBL02.fasta,ESBL03.fasta,ESBL04.fasta,ESBL07.fasta,ESBL08.fasta,ESBL10.fasta,ESBL17.fasta,ESBL19.fasta,ESBL20.fasta,ESBL21.fasta,ESBL22.fasta}",1,1,Illumina_SPAdes,NP_Canu_Hybrid_Polished
"{ESBL03.fasta,ESBL10.fasta}",1,1,Illumina_SPAdes,NP_Canu_Hybrid_Polished
"{ESBL07.fasta,ESBL08.fasta}",1,1,Illumina_SPAdes,NP_Canu_Hybrid_Polished
"{ESBL03.fasta,ESBL04.fasta,ESBL07.fasta,ESBL08.fasta,ESBL10.fasta}",1,1,Illumina_SPAdes,NP_Canu_Hybrid_Polished
