,sample,header,label,name,replicon,resistance,circular,cov,len,genes,ARR-3,Col(BS512),Col(KPHS6),Col(MG828),Col(MGD2),Col156,Col8282,ColRNAI,IncB/O/K/Z,IncFIA,IncFIB(AP001918),IncFIB(pHCM2),IncFIB(pKPHS1),IncFIC(FII),IncFII,IncFII(29),IncFII(pRSB107),IncI1,IncN,IncQ1,IncR,IncX1,IncX3,IncX4,aac(3)-IIa,aac(3)-IId,aac(6')-Ib-cr,aadA1,aadA2,aadA5,aadA8b,ant(3'')-Ia,aph(3'')-Ib,aph(3')-Ia,aph(6)-Id,blaCMY-42,blaCTX-M-1,blaCTX-M-101,blaCTX-M-116,blaCTX-M-14,blaCTX-M-14b,blaCTX-M-15,blaCTX-M-156,blaCTX-M-27,blaCTX-M-8,blaOXA-1,blaTEM-104,blaTEM-105,blaTEM-141,blaTEM-1B,blaTEM-1C,blaTEM-52B,catA1,catB3,cmlA1,dfrA1,dfrA12,dfrA14,dfrA17,erm(B),lnu(F),mdf(A),mef(B),mph(A),p0111,sul1,sul2,sul3,tet(34),tet(A),tet(B),tet(D)
NODE_1_length_268273_cov_13.248368,ESBL08,NODE_1_length_268273_cov_13.248368,misc,M_0,False,False,False,13.248368,268273,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_2_length_181414_cov_15.672381,ESBL08,NODE_2_length_181414_cov_15.672381,misc,M_1,False,False,False,15.672381,181414,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_3_length_176822_cov_13.992399,ESBL08,NODE_3_length_176822_cov_13.992399,misc,M_2,False,True,False,13.992399,176822,['mdf(A)'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109634..110866,,,,,,,,,,
NODE_4_length_163905_cov_16.836847,ESBL08,NODE_4_length_163905_cov_16.836847,misc,M_3,False,False,False,16.836847,163905,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_5_length_155516_cov_17.244618,ESBL08,NODE_5_length_155516_cov_17.244618,misc,M_4,False,False,False,17.244618,155516,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_6_length_155406_cov_19.068103,ESBL08,NODE_6_length_155406_cov_19.068103,misc,M_5,False,False,False,19.068103,155406,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_7_length_149393_cov_17.966402,ESBL08,NODE_7_length_149393_cov_17.966402,misc,M_6,False,False,False,17.966402,149393,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_8_length_144606_cov_18.332477,ESBL08,NODE_8_length_144606_cov_18.332477,misc,M_7,False,False,False,18.332477,144606,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_9_length_140165_cov_16.903762,ESBL08,NODE_9_length_140165_cov_16.903762,misc,M_8,False,False,False,16.903762,140165,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_10_length_125503_cov_14.147851,ESBL08,NODE_10_length_125503_cov_14.147851,misc,M_9,False,False,False,14.147851,125503,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_11_length_89082_cov_11.747355,ESBL08,NODE_11_length_89082_cov_11.747355,misc,M_10,False,False,False,11.747355,89082,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_12_length_88648_cov_19.613369,ESBL08,NODE_12_length_88648_cov_19.613369,misc,M_11,False,False,False,19.613369,88648,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_13_length_87598_cov_20.034240,ESBL08,NODE_13_length_87598_cov_20.034240,misc,M_12,False,False,False,20.034240,87598,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_14_length_85789_cov_19.164740,ESBL08,NODE_14_length_85789_cov_19.164740,misc,M_13,False,False,False,19.164740,85789,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_15_length_85284_cov_14.790246,ESBL08,NODE_15_length_85284_cov_14.790246,misc,M_14,False,False,False,14.790246,85284,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_16_length_85150_cov_15.123625,ESBL08,NODE_16_length_85150_cov_15.123625,misc,M_15,False,False,False,15.123625,85150,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
