,sample,header,label,name,replicon,resistance,circular,cov,len,genes,ARR-3,Col(BS512),Col(KPHS6),Col(MG828),Col(MGD2),Col156,Col8282,ColRNAI,IncB/O/K/Z,IncFIA,IncFIB(AP001918),IncFIB(pHCM2),IncFIB(pKPHS1),IncFIC(FII),IncFII,IncFII(29),IncFII(pRSB107),IncI1,IncN,IncQ1,IncR,IncX1,IncX3,IncX4,aac(3)-IIa,aac(3)-IId,aac(6')-Ib-cr,aadA5,aadA8b,ant(3'')-Ia,aph(3'')-Ib,aph(3')-Ia,aph(6)-Id,blaCMY-42,blaCTX-M-1,blaCTX-M-14,blaCTX-M-14b,blaCTX-M-15,blaCTX-M-27,blaCTX-M-8,blaOXA-1,blaTEM-15,blaTEM-1B,catA1,catB3,cmlA1,dfrA1,dfrA12,dfrA14,dfrA17,erm(B),lnu(F),mdf(A),mef(B),mph(A),p0111,sul1,sul2,sul3,tet(34),tet(A),tet(B),tet(D)
1,ESBL08,1 length=4505530 depth=1.00x,chromosome,C_0,False,True,False,1.00,4505530,"['catB3', 'mdf(A)', ""aac(6')-Ib-cr"", 'blaCTX-M-15', 'aac(3)-IIa', 'blaOXA-1']",,,,,,,,,,,,,,,,,,,,,,,,,3603853..3604713,,3607117..3607716,,,,,,,,,,,3525514..3526389,,,3606156..3606986,,,,3605574..3606018,,,,,,,,1956622..1957854,,,,,,,,,,
2,ESBL08,2 length=751838 depth=1.23x,misc,M_0,False,False,False,1.23,751838,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ESBL08,6 length=1648 depth=1.42x,misc,M_1,False,False,False,1.42,1648,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ESBL08,7 length=1157 depth=1.04x,misc,M_2,False,False,False,1.04,1157,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ESBL08,8 length=492 depth=1.04x,misc,M_3,False,False,False,1.04,492,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ESBL08,9 length=335 depth=1.23x,misc,M_4,False,False,False,1.23,335,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,ESBL08,10 length=225 depth=1.26x,misc,M_5,False,False,False,1.26,225,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,ESBL08,11 length=149 depth=0.96x,misc,M_6,False,False,False,0.96,149,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ESBL08,3 length=95911 depth=0.89x,plasmid,P_0,True,False,False,0.89,95911,"['IncFIB(AP001918)', 'IncFIA', 'IncFIC(FII)']",,,,,,,,,,15188..15571,1790..2471,,,88707..89005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ESBL08,4 length=84626 depth=0.94x circular=true,plasmid,P_1,True,True,True,0.94,84626,"['tet(B)', 'IncFIC(FII)']",,,,,,,,,,,,,,84332..84626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29927..31132,
5,ESBL08,5 length=15251 depth=2.03x circular=true,plasmid,P_2,False,False,True,2.03,15251,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ESBL09,1 length=5274690 depth=1.00x circular=true,chromosome,C_0,False,True,True,1.00,5274690,"['blaCTX-M-15', 'mdf(A)', 'tet(34)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176900..177775,,,,,,,,,,,,,,,5202368..5203600,,,,,,,4555449..4555804,,,
2,ESBL09,2 length=116053 depth=1.12x circular=true,plasmid,P_0,True,True,True,1.12,116053,"['blaTEM-1B', 'IncFIB(AP001918)', 'IncFII(29)', 'Col156']",,,,,,23385..23526,,,,,115975..116053,,,,,46816..47074,,,,,,,,,,,,,,,,,,,,,,,,,,,40954..41814,,,,,,,,,,,,,,,,,,,,
3,ESBL09,3 length=90273 depth=1.22x circular=true,plasmid,P_1,True,True,True,1.22,90273,"['blaCTX-M-15', 'blaTEM-1B', 'IncI1']",,,,,,,,,,,,,,,,,,90017..90158,,,,,,,,,,,,,,,,,,,,8445..9320,,,,,12142..13002,,,,,,,,,,,,,,,,,,,,
4,ESBL09,4 length=4073 depth=3.42x circular=true,plasmid,P_2,True,False,True,3.42,4073,['ColRNAI'],,,,,,,,1876..2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
