,sample,header,label,name,replicon,resistance,circular,cov,len,genes,ARR-3,Col(BS512),Col(KPHS6),Col(MG828),Col(MGD2),Col156,Col8282,ColRNAI,IncB/O/K/Z,IncFIA,IncFIB(AP001918),IncFIB(pHCM2),IncFIB(pKPHS1),IncFIC(FII),IncFII,IncFII(29),IncFII(pRSB107),IncI1,IncN,IncQ1,IncR,IncX1,IncX3,IncX4,aac(3)-IIa,aac(3)-IId,aac(6')-Ib-cr,aadA1,aadA5,aadA8b,ant(3'')-Ia,aph(3'')-Ib,aph(3')-Ia,aph(6)-Id,blaCMY-42,blaCTX-M-1,blaCTX-M-14,blaCTX-M-14b,blaCTX-M-15,blaCTX-M-27,blaCTX-M-3,blaCTX-M-8,blaOXA-1,blaTEM-1B,blaTEM-1C,blaTEM-52B,catA1,catB3,cmlA1,dfrA1,dfrA12,dfrA14,dfrA17,erm(B),lnu(F),mdf(A),mef(B),mph(A),p0111,sul1,sul2,sul3,tet(34),tet(A),tet(B),tet(D)
NODE_1_length_1385233_cov_20.665178,ESBL08,NODE_1_length_1385233_cov_20.665178,chromosome,C_0,False,False,False,20.665178,1385233,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_2_length_1072115_cov_14.249395,ESBL08,NODE_2_length_1072115_cov_14.249395,chromosome,C_1,False,True,False,14.249395,1072115,['mdf(A)'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457239..458471,,,,,,,,,,
NODE_3_length_857597_cov_16.778540,ESBL08,NODE_3_length_857597_cov_16.778540,misc,M_0,False,True,False,16.778540,857597,"['blaCTX-M-15', 'aac(3)-IIa', 'catB3', 'blaOXA-1', ""aac(6')-Ib-cr""]",,,,,,,,,,,,,,,,,,,,,,,,,676605..677465,,673602..674201,,,,,,,,,,,,754929..755804,,,,674332..675162,,,,,675300..675744,,,,,,,,,,,,,,,,,,
NODE_4_length_558114_cov_11.457701,ESBL08,NODE_4_length_558114_cov_11.457701,misc,M_1,False,False,False,11.457701,558114,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_5_length_408605_cov_18.160060,ESBL08,NODE_5_length_408605_cov_18.160060,misc,M_2,False,False,False,18.160060,408605,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_6_length_267097_cov_19.328602,ESBL08,NODE_6_length_267097_cov_19.328602,misc,M_3,False,False,False,19.328602,267097,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_7_length_252806_cov_18.208920,ESBL08,NODE_7_length_252806_cov_18.208920,misc,M_4,False,False,False,18.208920,252806,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_8_length_232936_cov_13.233082,ESBL08,NODE_8_length_232936_cov_13.233082,misc,M_5,False,False,False,13.233082,232936,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_9_length_123650_cov_12.091668,ESBL08,NODE_9_length_123650_cov_12.091668,misc,M_6,False,False,False,12.091668,123650,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_12_length_90669_cov_11.496581,ESBL08,NODE_12_length_90669_cov_11.496581,misc,M_7,False,False,False,11.496581,90669,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_14_length_3501_cov_0.364430,ESBL08,NODE_14_length_3501_cov_0.364430,misc,M_8,False,False,False,0.364430,3501,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_15_length_1766_cov_29.635359,ESBL08,NODE_15_length_1766_cov_29.635359,misc,M_9,False,False,False,29.635359,1766,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_16_length_1270_cov_11.135608,ESBL08,NODE_16_length_1270_cov_11.135608,misc,M_10,False,False,False,11.135608,1270,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_17_length_684_cov_1.569120,ESBL08,NODE_17_length_684_cov_1.569120,misc,M_11,False,False,False,1.569120,684,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_18_length_639_cov_1.931641,ESBL08,NODE_18_length_639_cov_1.931641,misc,M_12,False,False,False,1.931641,639,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_19_length_549_cov_2.651659,ESBL08,NODE_19_length_549_cov_2.651659,misc,M_13,False,False,False,2.651659,549,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_20_length_534_cov_2.326781,ESBL08,NODE_20_length_534_cov_2.326781,misc,M_14,False,False,False,2.326781,534,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_21_length_498_cov_1.293801,ESBL08,NODE_21_length_498_cov_1.293801,misc,M_15,False,False,False,1.293801,498,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_22_length_486_cov_2.916435,ESBL08,NODE_22_length_486_cov_2.916435,misc,M_16,False,False,False,2.916435,486,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_23_length_461_cov_2.682635,ESBL08,NODE_23_length_461_cov_2.682635,misc,M_17,False,False,False,2.682635,461,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_24_length_448_cov_0.542056,ESBL08,NODE_24_length_448_cov_0.542056,misc,M_18,False,False,False,0.542056,448,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_25_length_443_cov_3.256329,ESBL08,NODE_25_length_443_cov_3.256329,misc,M_19,False,False,False,3.256329,443,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_26_length_354_cov_19.211454,ESBL08,NODE_26_length_354_cov_19.211454,misc,M_20,False,False,False,19.211454,354,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_27_length_332_cov_17.439024,ESBL08,NODE_27_length_332_cov_17.439024,misc,M_21,False,False,False,17.439024,332,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_28_length_330_cov_19.551724,ESBL08,NODE_28_length_330_cov_19.551724,misc,M_22,False,False,False,19.551724,330,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_29_length_255_cov_23.796875,ESBL08,NODE_29_length_255_cov_23.796875,misc,M_23,False,False,False,23.796875,255,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_34_length_255_cov_14.796875,ESBL08,NODE_34_length_255_cov_14.796875,misc,M_24,False,False,False,14.796875,255,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_35_length_255_cov_11.531250,ESBL08,NODE_35_length_255_cov_11.531250,misc,M_25,False,False,False,11.531250,255,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_33_length_255_cov_15.625000,ESBL08,NODE_33_length_255_cov_15.625000,misc,M_26,False,False,False,15.625000,255,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_32_length_255_cov_18.671875,ESBL08,NODE_32_length_255_cov_18.671875,misc,M_27,False,False,False,18.671875,255,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_31_length_255_cov_21.781250,ESBL08,NODE_31_length_255_cov_21.781250,misc,M_28,False,False,False,21.781250,255,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_30_length_255_cov_22.328125,ESBL08,NODE_30_length_255_cov_22.328125,misc,M_29,False,False,False,22.328125,255,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_36_length_251_cov_9.870968,ESBL08,NODE_36_length_251_cov_9.870968,misc,M_30,False,False,False,9.870968,251,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_37_length_249_cov_11.729508,ESBL08,NODE_37_length_249_cov_11.729508,misc,M_31,False,False,False,11.729508,249,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_38_length_242_cov_8.173913,ESBL08,NODE_38_length_242_cov_8.173913,misc,M_32,False,False,False,8.173913,242,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_39_length_238_cov_5.153153,ESBL08,NODE_39_length_238_cov_5.153153,misc,M_33,False,False,False,5.153153,238,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_40_length_231_cov_19.778846,ESBL08,NODE_40_length_231_cov_19.778846,misc,M_34,False,False,False,19.778846,231,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_41_length_184_cov_4.157895,ESBL08,NODE_41_length_184_cov_4.157895,misc,M_35,False,False,False,4.157895,184,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_42_length_171_cov_4.590909,ESBL08,NODE_42_length_171_cov_4.590909,misc,M_36,False,False,False,4.590909,171,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_43_length_128_cov_412.000000,ESBL08,NODE_43_length_128_cov_412.000000,misc,M_37,False,False,False,412.000000,128,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_10_length_102606_cov_19.813510,ESBL08,NODE_10_length_102606_cov_19.813510,plasmid,P_0,True,False,False,19.813510,102606,"['IncFIA', 'IncFIC(FII)']",,,,,,,,,,6132..6515,,,,80002..80300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
