,sample,header,label,name,replicon,resistance,circular,len,genes,ARR-3,Col(BS512),Col(MG828),Col(MGD2),Col156,Col8282,ColRNAI,IncB/O/K/Z,IncFIA,IncFIB(AP001918),IncFIB(pHCM2),IncFIB(pKPHS1),IncFIC(FII),IncFII,IncFII(29),IncFII(pRSB107),IncI1,IncN,IncQ1,IncR,IncX1,IncX3,IncX4,aac(3)-IIa,aac(3)-IId,aac(3)-IIe,aac(6')-Ib-cr,aadA5,aadA8b,ant(3'')-Ia,aph(3'')-Ib,aph(3')-Ia,aph(6)-Id,blaCMY-42,blaCTX-M-1,blaCTX-M-14,blaCTX-M-14b,blaCTX-M-15,blaCTX-M-27,blaCTX-M-3,blaCTX-M-8,blaOXA-1,blaTEM-1B,blaTEM-1C,blaTEM-52B,catA1,catB3,cmlA1,dfrA1,dfrA12,dfrA14,dfrA17,erm(B),lnu(F),mdf(A),mef(B),mph(A),p0111,sul1,sul2,sul3,tet(34),tet(A),tet(B),tet(D)
tig00001587,ESBL08,tig00001587 len=5273846 reads=64774 covStat=47761.38 gappedBases=no class=contig suggestRepeat=no suggestCircular=no,chromosome,C_0,False,True,False,5273889,"['catB3', 'mdf(A)', ""aac(6')-Ib-cr"", 'blaCTX-M-15', 'aac(3)-IIa', 'blaOXA-1']",,,,,,,,,,,,,,,,,,,,,,,,3693665..3694525,,,3690662..3691261,,,,,,,,,,,3771989..3772864,,,,3691392..3692222,,,,,3692360..3692804,,,,,,,,76855..78087,,,,,,,,,,
tig00000401,ESBL08,tig00000401 len=144341 reads=1438 covStat=1420.60 gappedBases=no class=contig suggestRepeat=no suggestCircular=yes,plasmid,P_0,True,False,True,144343,"['IncFIB(AP001918)', 'IncFIA', 'IncFIC(FII)']",,,,,,,,,53805..54188,40409..41090,,,127683..127981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tig00000004,ESBL08,tig00000004 len=97492 reads=937 covStat=905.79 gappedBases=no class=contig suggestRepeat=no suggestCircular=no,plasmid,P_1,True,True,False,97492,"['tet(B)', 'IncFIC(FII)']",,,,,,,,,,,,,20528..20825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50745..51950,
tig00000002,ESBL08,tig00000002 len=25438 reads=104 covStat=212.80 gappedBases=no class=contig suggestRepeat=no suggestCircular=no,misc,M_0,False,False,False,25438,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tig00001588,ESBL08,tig00001588 len=23197 reads=127 covStat=225.45 gappedBases=no class=contig suggestRepeat=yes suggestCircular=no,misc,M_1,False,False,False,23197,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tig00001356,ESBL08,tig00001356 len=7792 reads=6 covStat=15.55 gappedBases=no class=contig suggestRepeat=no suggestCircular=no,misc,M_2,False,False,False,7792,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tig00000418,ESBL08,tig00000418 len=6828 reads=5 covStat=33.42 gappedBases=no class=contig suggestRepeat=no suggestCircular=no,misc,M_3,False,False,False,6828,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tig00000414,ESBL08,tig00000414 len=3926 reads=5 covStat=7.35 gappedBases=no class=contig suggestRepeat=no suggestCircular=no,misc,M_4,False,False,False,3926,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tig00000006,ESBL08,tig00000006 len=3258 reads=3 covStat=-1.18 gappedBases=no class=contig suggestRepeat=no suggestCircular=no,misc,M_5,False,False,False,3258,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tig00000583,ESBL08,tig00000583 len=1796 reads=17 covStat=-9.95 gappedBases=no class=contig suggestRepeat=no suggestCircular=no,misc,M_6,False,False,False,1796,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
