,sample,header,label,name,replicon,resistance,circular,cov,len,genes,ARR-3,Col(BS512),Col(KPHS6),Col(MG828),Col(MGD2),Col156,Col8282,ColRNAI,IncB/O/K/Z,IncFIA,IncFIB(AP001918),IncFIB(pHCM2),IncFIB(pKPHS1),IncFIC(FII),IncFII,IncFII(29),IncFII(pRSB107),IncI1,IncN,IncQ1,IncR,IncX1,IncX3,IncX4,aac(3)-IIa,aac(3)-IId,aac(6')-Ib-cr,aadA5,aadA8b,ant(3'')-Ia,aph(3'')-Ib,aph(3')-Ia,aph(6)-Id,blaCMY-42,blaCTX-M-1,blaCTX-M-14,blaCTX-M-14b,blaCTX-M-15,blaCTX-M-27,blaCTX-M-8,blaOXA-1,blaTEM-15,blaTEM-1B,catA1,catB3,cmlA1,dfrA1,dfrA12,dfrA14,dfrA17,erm(B),lnu(F),mdf(A),mef(B),mph(A),p0111,sul1,sul2,sul3,tet(34),tet(A),tet(B),tet(D)
NODE_1_length_1637494_cov_20.368614,ESBL08,NODE_1_length_1637494_cov_20.368614,chromosome,C_0,False,False,False,20.368614,1637494,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_2_length_1072120_cov_14.248984,ESBL08,NODE_2_length_1072120_cov_14.248984,chromosome,C_1,False,True,False,14.248984,1072120,['mdf(A)'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457248..458480,,,,,,,,,,
NODE_3_length_857595_cov_16.783906,ESBL08,NODE_3_length_857595_cov_16.783906,misc,M_0,False,True,False,16.783906,857595,"['blaCTX-M-15', 'aac(3)-IIa', 'catB3', 'blaOXA-1', ""aac(6')-Ib-cr""]",,,,,,,,,,,,,,,,,,,,,,,,,676605..677465,,673602..674201,,,,,,,,,,,754929..755804,,,674332..675162,,,,675300..675744,,,,,,,,,,,,,,,,,,
NODE_4_length_637903_cov_11.273684,ESBL08,NODE_4_length_637903_cov_11.273684,misc,M_1,False,False,False,11.273684,637903,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_5_length_408600_cov_18.198806,ESBL08,NODE_5_length_408600_cov_18.198806,misc,M_2,False,False,False,18.198806,408600,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_6_length_267100_cov_19.479037,ESBL08,NODE_6_length_267100_cov_19.479037,misc,M_3,False,False,False,19.479037,267100,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_7_length_228835_cov_13.568419,ESBL08,NODE_7_length_228835_cov_13.568419,misc,M_4,False,False,False,13.568419,228835,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_9_length_90669_cov_11.596353,ESBL08,NODE_9_length_90669_cov_11.596353,misc,M_5,False,False,False,11.596353,90669,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_11_length_35384_cov_12.363984,ESBL08,NODE_11_length_35384_cov_12.363984,misc,M_6,False,False,False,12.363984,35384,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_13_length_14134_cov_30.495895,ESBL08,NODE_13_length_14134_cov_30.495895,misc,M_7,False,False,False,30.495895,14134,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_14_length_2154_cov_0.909719,ESBL08,NODE_14_length_2154_cov_0.909719,misc,M_8,False,False,False,0.909719,2154,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_15_length_2020_cov_0.865821,ESBL08,NODE_15_length_2020_cov_0.865821,misc,M_9,False,False,False,0.865821,2020,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
