,sample,header,label,name,replicon,resistance,circular,len,genes,ARR-3,Col(BS512),Col(MG828),Col(MGD2),Col156,Col8282,ColRNAI,IncB/O/K/Z,IncFIA,IncFIB(AP001918),IncFIB(pHCM2),IncFIB(pKPHS1),IncFIC(FII),IncFII,IncFII(29),IncFII(pRSB107),IncI1,IncN,IncQ1,IncR,IncX1,IncX3,IncX4,aac(3)-IIa,aac(3)-IId,aac(3)-IIe,aac(6')-Ib-cr,aadA5,aadA8b,ant(3'')-Ia,aph(3'')-Ib,aph(3')-Ia,aph(6)-Id,blaCMY-42,blaCTX-M-1,blaCTX-M-14,blaCTX-M-14b,blaCTX-M-15,blaCTX-M-27,blaCTX-M-3,blaCTX-M-8,blaOXA-1,blaTEM-1B,blaTEM-1C,blaTEM-52B,catA1,catB3,cmlA1,dfrA1,dfrA12,dfrA14,dfrA17,erm(B),lnu(F),mdf(A),mef(B),mph(A),p0111,sul1,sul2,sul3,tet(34),tet(A),tet(B),tet(D)
tig00001587,ESBL08,tig00001587 len=5273846 reads=64774 covStat=47761.38 gappedBases=no class=contig suggestRepeat=no suggestCircular=no,chromosome,C_0,False,True,False,5273846,"['catB3', 'mdf(A)', ""aac(6')-Ib-cr"", 'blaCTX-M-15', 'aac(3)-IIa', 'blaOXA-1']",,,,,,,,,,,,,,,,,,,,,,,,3693630..3694490,,,3690627..3691226,,,,,,,,,,,3771954..3772829,,,,3691357..3692187,,,,,3692325..3692769,,,,,,,,76853..78085,,,,,,,,,,
tig00000401,ESBL08,tig00000401 len=144341 reads=1438 covStat=1420.60 gappedBases=no class=contig suggestRepeat=no suggestCircular=yes,plasmid,P_0,True,False,True,144341,"['IncFIB(AP001918)', 'IncFIA', 'IncFIC(FII)']",,,,,,,,,53805..54188,40409..41090,,,127681..127979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tig00000004,ESBL08,tig00000004 len=97492 reads=937 covStat=905.79 gappedBases=no class=contig suggestRepeat=no suggestCircular=no,plasmid,P_1,True,True,False,97492,"['tet(B)', 'IncFIC(FII)']",,,,,,,,,,,,,20528..20825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50745..51950,
tig00000002,ESBL08,tig00000002 len=25438 reads=104 covStat=212.80 gappedBases=no class=contig suggestRepeat=no suggestCircular=no,misc,M_0,False,False,False,25438,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tig00001588,ESBL08,tig00001588 len=23197 reads=127 covStat=225.45 gappedBases=no class=contig suggestRepeat=yes suggestCircular=no,misc,M_1,False,False,False,23197,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tig00001356,ESBL08,tig00001356 len=7792 reads=6 covStat=15.55 gappedBases=no class=contig suggestRepeat=no suggestCircular=no,misc,M_2,False,False,False,7792,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tig00000418,ESBL08,tig00000418 len=6828 reads=5 covStat=33.42 gappedBases=no class=contig suggestRepeat=no suggestCircular=no,misc,M_3,False,False,False,6828,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tig00000414,ESBL08,tig00000414 len=3926 reads=5 covStat=7.35 gappedBases=no class=contig suggestRepeat=no suggestCircular=no,misc,M_4,False,False,False,3926,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tig00000006,ESBL08,tig00000006 len=3258 reads=3 covStat=-1.18 gappedBases=no class=contig suggestRepeat=no suggestCircular=no,misc,M_5,False,False,False,3258,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tig00000583,ESBL08,tig00000583 len=1796 reads=17 covStat=-9.95 gappedBases=no class=contig suggestRepeat=no suggestCircular=no,misc,M_6,False,False,False,1796,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tig00000008,ESBL08,tig00000008 len=1467 reads=3 covStat=-1.33 gappedBases=no class=contig suggestRepeat=no suggestCircular=no,misc,M_7,False,False,False,1467,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tig00001726,ESBL09,tig00001726 len=3654100 reads=42780 covStat=28464.54 gappedBases=no class=contig suggestRepeat=no suggestCircular=no,chromosome,C_0,False,True,False,3654100,['tet(34)'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3641306..3641661,,,
tig00001722,ESBL09,tig00001722 len=1091107 reads=12212 covStat=8823.46 gappedBases=no class=contig suggestRepeat=no suggestCircular=no,chromosome,C_1,False,True,False,1091107,"['blaCTX-M-3', 'mdf(A)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901818..902693,,,,,,,,,,,,,,,652598..653830,,,,,,,,,,
tig00001724,ESBL09,tig00001724 len=379430 reads=4039 covStat=3134.35 gappedBases=no class=contig suggestRepeat=no suggestCircular=no,misc,M_0,False,False,False,379430,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tig00001728,ESBL09,tig00001728 len=181798 reads=2149 covStat=1321.84 gappedBases=no class=contig suggestRepeat=no suggestCircular=no,misc,M_1,False,False,False,181798,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tig00001730,ESBL09,tig00001730 len=15609 reads=110 covStat=141.76 gappedBases=no class=contig suggestRepeat=yes suggestCircular=no,misc,M_2,False,False,False,15609,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tig00001723,ESBL09,tig00001723 len=9580 reads=39 covStat=82.83 gappedBases=no class=contig suggestRepeat=yes suggestCircular=no,misc,M_3,False,False,False,9580,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tig00001727,ESBL09,tig00001727 len=9169 reads=81 covStat=36.50 gappedBases=no class=contig suggestRepeat=yes suggestCircular=no,misc,M_4,False,False,False,9169,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tig00000238,ESBL09,tig00000238 len=8957 reads=44 covStat=52.85 gappedBases=no class=contig suggestRepeat=no suggestCircular=no,misc,M_5,False,False,False,8957,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tig00001725,ESBL09,tig00001725 len=7577 reads=44 covStat=28.14 gappedBases=no class=contig suggestRepeat=yes suggestCircular=no,misc,M_6,False,False,False,7577,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tig00000019,ESBL09,tig00000019 len=6029 reads=5 covStat=10.45 gappedBases=no class=contig suggestRepeat=no suggestCircular=no,misc,M_7,False,False,False,6029,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tig00000389,ESBL09,tig00000389 len=5553 reads=3 covStat=-1.29 gappedBases=no class=contig suggestRepeat=no suggestCircular=no,misc,M_8,False,False,False,5553,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tig00001096,ESBL09,tig00001096 len=5040 reads=6 covStat=15.44 gappedBases=no class=contig suggestRepeat=no suggestCircular=no,misc,M_9,False,False,False,5040,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tig00000239,ESBL09,tig00000239 len=4823 reads=7 covStat=8.98 gappedBases=no class=contig suggestRepeat=no suggestCircular=no,misc,M_10,False,False,False,4823,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tig00000375,ESBL09,tig00000375 len=4261 reads=7 covStat=-3.15 gappedBases=no class=contig suggestRepeat=no suggestCircular=no,misc,M_11,False,False,False,4261,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tig00000030,ESBL09,tig00000030 len=4230 reads=7 covStat=-3.42 gappedBases=no class=contig suggestRepeat=no suggestCircular=no,misc,M_12,False,False,False,4230,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tig00000444,ESBL09,tig00000444 len=4224 reads=7 covStat=-3.64 gappedBases=no class=contig suggestRepeat=no suggestCircular=no,misc,M_13,False,False,False,4224,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tig00000003,ESBL09,tig00000003 len=3800 reads=5 covStat=-2.14 gappedBases=no class=contig suggestRepeat=no suggestCircular=no,misc,M_14,False,False,False,3800,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tig00000864,ESBL09,tig00000864 len=2722 reads=13 covStat=-5.22 gappedBases=no class=contig suggestRepeat=no suggestCircular=no,misc,M_15,False,False,False,2722,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tig00000999,ESBL09,tig00000999 len=2649 reads=6 covStat=-2.94 gappedBases=no class=contig suggestRepeat=no suggestCircular=no,misc,M_16,False,False,False,2649,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
